Body,Head,PCA_Confidence,NL_rules
?a  patientDrug  Osimertinib   ,?a  treatmentType  Molecular_Targeted_Therapy,1,A lung cancer patient receiving the drug Osimertinib could also receive treatment type Molecular Targeted Therapy.
?a  treatmentType  Chemoradiotherapy_Adjuvant   ,?a  hasRelapse_Progression  Progression,1,A lung cancer patient receiving Chemoradiotherapy Adjuvant could experience progression or relapse status as progression.
?a  patientDrug  Crizotinib   ,?a  hasRelapse_Progression  Progression,1,A lung cancer patient receiving the drug Crizotinib could experience progression or relapse status as progression.
?a  patientDrug  Gefitinib   ,?a  hasRelapse_Progression  Progression,1,A lung cancer patient receiving the drug Gefitinib could experience progression or relapse status as progression.
?a  patientDrug  Bevacizumab   ,?a  hasRelapse_Progression  Progression,1,A lung cancer patient receiving the drug Bevacizumab could experience progression or relapse status as progression.
?a  patientDrug  Topotecan   ,?a  hasRelapse_Progression  Progression,1,A lung cancer patient receiving the drug Topotecan could experience progression or relapse status as progression.
?a  patientDrug  Alectinib   ,?a  hasRelapse_Progression  Progression,1,A lung cancer patient receiving the drug Alectinib could experience progression or relapse status as progression.
?a  hasBiomarker  RET_Negative  ?a  hasStage  IIIA   ,?a  hasBiomarker  BRAF_Negative,1,A lung cancer patient with biomarker RET_Negative in cancer stage IIIA could also have biomarker BRAF_Negative.
?a  hasBiomarker  RET_Negative  ?a  treatmentType  Radiotherapy_To_Lung   ,?a  hasBiomarker  BRAF_Negative,1,A lung cancer patient with biomarker RET_Negative receiving Radiotherapy To Lung could also have biomarker BRAF_Negative.
?a  hasBiomarker  RET_Negative  ?a  treatmentType  Chemotherapy_Adjuvant   ,?a  hasBiomarker  BRAF_Negative,1,A lung cancer patient with biomarker RET_Negative receiving Chemotherapy Adjuvant could also have biomarker BRAF_Negative.
?a  hasBiomarker  ALK_Negative  ?a  hasBiomarker  RET_Negative   ,?a  hasBiomarker  ROS1_Negative,1,A lung cancer patient with biomarker ALK_Negative with biomarker RET_Negative could also have biomarker ROS1_Negative.
?a  hasBiomarker  BRAF_Negative  ?a  hasBiomarker  RET_Negative   ,?a  hasBiomarker  ROS1_Negative,1,A lung cancer patient with biomarker BRAF_Negative with biomarker RET_Negative could also have biomarker ROS1_Negative.
?a  hasBiomarker  EGFR_Negative  ?a  hasBiomarker  RET_Negative   ,?a  hasBiomarker  ROS1_Negative,1,A lung cancer patient with biomarker EGFR_Negative with biomarker RET_Negative could also have biomarker ROS1_Negative.
?a  hasBiomarker  RET_Negative  ?a  treatmentType  Radiotherapy_To_Lung   ,?a  hasBiomarker  ROS1_Negative,1,A lung cancer patient with biomarker RET_Negative receiving Radiotherapy To Lung could also have biomarker ROS1_Negative.
?a  hasBiomarker  RET_Negative  ?a  treatmentType  Chemotherapy_Adjuvant   ,?a  hasBiomarker  ROS1_Negative,1,A lung cancer patient with biomarker RET_Negative receiving Chemotherapy Adjuvant could also have biomarker ROS1_Negative.
?a  hasBiomarker  RET_Negative  ?a  hasSmokingHabit  CurrentSmoker   ,?a  hasBiomarker  ROS1_Negative,1,A lung cancer patient with biomarker RET_Negative who is a currentsmoker could also have biomarker ROS1_Negative.
?a  hasBiomarker  RET_Negative  ?a  patientDrug  Cisplatin   ,?a  hasBiomarker  ROS1_Negative,1,A lung cancer patient with biomarker RET_Negative receiving the drug Cisplatin could also have biomarker ROS1_Negative.
?a  hasBiomarker  RET_Negative  ?a  hasRelapse_Progression  Progression   ,?a  hasBiomarker  ROS1_Negative,1,A lung cancer patient with biomarker RET_Negative with progression status could also have biomarker ROS1_Negative.
?a  hasBiomarker  RET_Negative  ?a  treatmentType  Open_Surgical_Procedure   ,?a  hasBiomarker  ROS1_Negative,1,A lung cancer patient with biomarker RET_Negative receiving Open Surgical Procedure could also have biomarker ROS1_Negative.
?a  hasBiomarker  RET_Negative  ?a  hasStage  IIIA   ,?a  hasBiomarker  ROS1_Negative,1,A lung cancer patient with biomarker RET_Negative in cancer stage IIIA could also have biomarker ROS1_Negative.
?a  hasBiomarker  BRAF_Negative  ?a  hasStage  IVB   ,?a  hasBiomarker  ROS1_Negative,1,A lung cancer patient with biomarker BRAF_Negative in cancer stage IVB could also have biomarker ROS1_Negative.
?a  hasAgeCategory  Young  ?a  hasBiomarker  BRAF_Negative   ,?a  hasBiomarker  ROS1_Negative,1,A lung cancer patient in the young age category with biomarker BRAF_Negative could also have biomarker ROS1_Negative.
?a  hasBiomarker  RET_Negative  ?a  hasSmokingHabit  CurrentSmoker   ,?a  hasBiomarker  EGFR_Negative,1,A lung cancer patient with biomarker RET_Negative who is a currentsmoker could also have biomarker EGFR_Negative.
?a  hasBiomarker  BRAF_Negative  ?a  hasSmokingHabit  CurrentSmoker   ,?a  hasBiomarker  EGFR_Negative,1,A lung cancer patient with biomarker BRAF_Negative who is a currentsmoker could also have biomarker EGFR_Negative.
?a  hasBiomarker  BRAF_Negative  ?a  patientDrug  Pembrolizumab   ,?a  hasBiomarker  EGFR_Negative,1,A lung cancer patient with biomarker BRAF_Negative receiving the drug Pembrolizumab could also have biomarker EGFR_Negative.
?a  hasBiomarker  ALK_Negative  ?a  hasStage  IIIB   ,?a  hasBiomarker  EGFR_Negative,1,A lung cancer patient with biomarker ALK_Negative in cancer stage IIIB could also have biomarker EGFR_Negative.
?a  hasBiomarker  ROS1_Negative  ?a  hasStage  IIIB   ,?a  hasBiomarker  EGFR_Negative,1,A lung cancer patient with biomarker ROS1_Negative in cancer stage IIIB could also have biomarker EGFR_Negative.
?a  hasBiomarker  ROS1_Negative  ?a  treatmentType  Concurrent_Chemoradiotherapy   ,?a  hasBiomarker  EGFR_Negative,1,A lung cancer patient with biomarker ROS1_Negative receiving Concurrent Chemoradiotherapy could also have biomarker EGFR_Negative.
?a  hasBiomarker  ROS1_Negative  ?a  patientDrug  Pembrolizumab   ,?a  hasBiomarker  EGFR_Negative,1,A lung cancer patient with biomarker ROS1_Negative receiving the drug Pembrolizumab could also have biomarker EGFR_Negative.
?a  hasStage  IIIA  ?a  patientDrug  Docetaxel   ,?a  hasBiomarker  EGFR_Negative,1,A lung cancer patient in cancer stage IIIA receiving the drug Docetaxel could also have biomarker EGFR_Negative.
?a  patientDrug  Pemetrexed  ?a  treatmentType  Thoracoscopy   ,?a  hasBiomarker  EGFR_Negative,1,A lung cancer patient receiving Thoracoscopy receiving the drug Pemetrexed could also have biomarker EGFR_Negative.
?a  hasBiomarker  ALK_Negative  ?a  patientDrug  Pembrolizumab   ,?a  hasBiomarker  EGFR_Negative,1,A lung cancer patient with biomarker ALK_Negative receiving the drug Pembrolizumab could also have biomarker EGFR_Negative.
?a  patientDrug  Pembrolizumab  ?a  patientDrug  Pemetrexed   ,?a  hasBiomarker  EGFR_Negative,1,A lung cancer patient receiving the drugs Pembrolizumab and Pemetrexed could also have biomarker EGFR_Negative.
?a  patientDrug  Carboplatin  ?a  patientDrug  Pembrolizumab   ,?a  hasBiomarker  EGFR_Negative,1,A lung cancer patient receiving the drugs Carboplatin and Pembrolizumab could also have biomarker EGFR_Negative.
